Sample,Period,String Length,Mass ,Amplitude ,,,Sample,Period,String Length,Mass ,Amplitude 
1,6.36,10,100,15,,,1,6.28,10,100,15
2,6.2,10,100,15,,,2,14.26,50,100,15
3,14.29,50,100,15,,,3,6.445,10,300,15
4,14.23,50,100,15,,,4,14.28,50,300,15
5,6.49,10,300,15,,,5,6.93,10,100,65
6,6.4,10,300,15,,,6,15.49,50,100,65
7,14.26,50,300,15,,,7,6.94,10,300,65
8,14.3,50,300,15,,,8,15.4,50,300,65
9,7,10,100,65,,,,,,,
10,6.86,10,100,65,,,,,,,
11,15.47,50,100,65,,,,,,,
12,15.51,50,100,65,,,,,,,
13,6.99,10,300,65,,,,,,,
14,6.89,10,300,65,,,,,,,
15,15.5,50,300,65,,,,,,,
16,15.3,50,300,65,,,,,,,
